x0,x1,x2,y,x3,x4,x5,x6,x7
A2,A10,A0,200,2,1.58,1,18,428.7142857142857
A3,A79,A0,240,1,1.4,3,1,430.0
A0,A21,A1,50,2,0.16,2,157,149.0
A2,A10,A1,120,1,1.11,1,0,427.2857142857143
A2,A2,A1,79,3,,5,18,
A2,A23,A1,155,1,2.72,4,304,429.57142857142856
A2,A80,A0,499,14,1.27,4,1,423.42857142857144
A0,A0,A1,80,2,0.18,1,0,323.14285714285717
A2,A19,A1,169,7,1.0,13,358,427.85714285714283
A0,A12,A0,167,3,,1,166,
A2,A80,A0,200,2,0.29,1,0,425.85714285714283
A0,A0,A0,225,2,,1,45,
A0,A5,A0,200,2,1.06,1,157,421.14285714285717
A2,A36,A1,2000,6,,5,219,
A0,A21,A1,200,4,,1,365,
A2,A45,A0,99,10,0.59,1,188,422.42857142857144
A0,A12,A1,140,2,3.69,4,334,430.7142857142857
A2,A13,A0,306,30,,232,336,
A0,A6,A1,65,1,3.75,3,134,430.85714285714283
A0,A81,A1,119,1,0.97,17,355,432.0
A0,A4,A1,70,1,5.45,13,320,430.85714285714283
A2,A23,A1,100,3,1.2,1,13,429.7142857142857
A0,A0,A1,85,1,,2,124,
A0,A0,A0,325,2,2.45,1,126,428.85714285714283
A0,A6,A1,80,2,,1,0,
A2,A2,A0,120,2,0.07,1,210,371.85714285714283
A0,A12,A0,130,4,0.1,1,13,370.42857142857144
A3,A82,A1,50,2,0.4,2,26,431.57142857142856
A1,A61,A0,128,3,4.01,1,325,430.57142857142856
A2,A10,A1,90,7,0.5,1,35,384.42857142857144
A0,A51,A1,45,5,1.46,4,247,430.0
A0,A6,A1,60,2,3.94,2,48,429.14285714285717
A2,A8,A0,159,4,0.75,1,87,428.2857142857143
A2,A13,A0,150,4,0.03,1,0,300.85714285714283
A1,A77,A1,30,1,2.32,1,0,409.7142857142857
A2,A45,A0,151,6,0.09,1,0,335.85714285714283
A2,A3,A0,125,1,2.7,1,40,429.7142857142857
A2,A45,A0,115,4,1.66,1,16,430.2857142857143
A0,A4,A1,80,2,4.35,1,82,430.14285714285717
A1,A73,A0,350,2,,1,364,
A0,A6,A1,60,1,0.03,1,0,285.14285714285717
A2,A3,A0,99,28,2.16,2,296,414.0
A0,A0,A0,142,7,0.85,1,261,429.42857142857144
A2,A10,A0,150,1,0.57,1,5,407.85714285714283
A2,A13,A0,1200,3,,1,51,
A2,A3,A0,85,2,0.52,1,58,427.85714285714283
A0,A4,A0,135,4,0.04,1,0,237.71428571428572
A0,A5,A0,99,2,0.32,1,3,398.85714285714283
A3,A83,A1,125,1,,1,0,
A0,A5,A1,60,1,0.59,1,129,386.42857142857144
A0,A81,A0,400,30,3.53,1,265,427.42857142857144
A0,A40,A0,165,3,1.15,2,305,428.42857142857144
A2,A84,A0,110,5,0.19,1,0,365.14285714285717
A1,A28,A1,75,1,0.77,4,355,429.85714285714283
A2,A3,A1,50,1,,1,0,
A0,A6,A0,160,2,2.28,1,364,427.0
A0,A6,A1,55,15,,1,0,
A0,A0,A1,75,1,0.44,2,151,412.85714285714283
A2,A69,A0,325,2,1.24,1,31,426.0
A0,A5,A0,119,2,4.68,1,14,430.0
A1,A52,A1,48,2,0.22,1,0,412.2857142857143
A2,A85,A1,100,3,0.95,1,165,425.42857142857144
A2,A10,A0,134,4,0.08,3,0,339.2857142857143
